uic_code,année,fréquentation
87481614,2022,40825
87481614,2021,27466
87481614,2020,22773
87481614,2019,38473
87481614,2018,38027
87481614,2017,35637
87481614,2016,33021
87481614,2015,35989
87545269,2022,1203692
87545269,2021,1594567
87545269,2020,660309
87545269,2019,1457253
87545269,2018,1462108
87545269,2017,1471462
87545269,2016,1453063
87545269,2015,1427319
87386052,2022,177092
87386052,2021,209673
87386052,2020,126513
87386052,2019,221003
87386052,2018,228032
87386052,2017,235698
87386052,2016,238687
87386052,2015,241046
87316745,2022,2
87316745,2021,0
87316745,2020,0
87316745,2019,2
87316745,2018,235
87316745,2017,104
87316745,2016,308
87316745,2015,898
87485193,2022,51200
87485193,2021,32989
87485193,2020,24987
87485193,2019,31170
87485193,2018,18670
87485193,2017,14513
87485193,2016,266
87485193,2015,0
87734129,2022,70599
87734129,2021,55143
87734129,2020,50677
87734129,2019,75954
87734129,2018,70745
87734129,2017,77218
87734129,2016,78088
87734129,2015,75873
87185629,2022,5628
87185629,2021,5715
87185629,2020,8639
87185629,2019,7348
87185629,2018,4429
87185629,2017,5594
87185629,2016,5942
87185629,2015,6932
87313098,2022,133695
87313098,2021,112866
87313098,2020,105120
87313098,2019,134750
87313098,2018,126145
87313098,2017,130664
87313098,2016,123926
87313098,2015,130027
87613398,2022,26119
87613398,2021,19376
87613398,2020,11378
87613398,2019,11386
87613398,2018,8780
87613398,2017,11579
87613398,2016,9415
87613398,2015,10586
87721266,2022,331589
87721266,2021,248756
87721266,2020,186241
87721266,2019,238564
87721266,2018,229444
87721266,2017,246020
87721266,2016,231790
87721266,2015,239630
87710913,2022,0
87710913,2021,0
87710913,2020,0
87710913,2019,0
87710913,2018,0
87710913,2017,0
87710913,2016,0
87710913,2015,0
87721035,2022,314879
87721035,2021,245200
87721035,2020,206265
87721035,2019,317136
87721035,2018,276412
87721035,2017,317836
87721035,2016,298064
87721035,2015,289331
87715102,2022,25960
87715102,2021,9982
87715102,2020,4698
87715102,2019,5782
87715102,2018,4050
87715102,2017,6806
87715102,2016,9288
87715102,2015,9918
87484048,2022,33549
87484048,2021,23674
87484048,2020,18317
87484048,2019,23126
87484048,2018,16070
87484048,2017,12708
87484048,2016,12663
87484048,2015,16649
87543090,2022,151343
87543090,2021,130031
87543090,2020,75617
87543090,2019,183224
87543090,2018,175547
87543090,2017,170954
87543090,2016,162250
87543090,2015,153525
87191387,2022,1081
87191387,2021,1789
87191387,2020,1560
87191387,2019,1591
87191387,2018,1191
87191387,2017,744
87191387,2016,657
87191387,2015,791
87582726,2022,51865
87582726,2021,50805
87582726,2020,46502
87582726,2019,58138
87582726,2018,42489
87582726,2017,40409
87582726,2016,38450
87582726,2015,40206
87718841,2022,77323
87718841,2021,56289
87718841,2020,47438
87718841,2019,55544
87718841,2018,43376
87718841,2017,50233
87718841,2016,47098
87718841,2015,43531
87683680,2022,4514
87683680,2021,3008
87683680,2020,2568
87683680,2019,2752
87683680,2018,2091
87683680,2017,2408
87683680,2016,1962
87683680,2015,2249
87381848,2022,16033835
87381848,2021,14527144
87381848,2020,8206484
87381848,2019,16219640
87381848,2018,16094786
87381848,2017,15608674
87381848,2016,15388969
87381848,2015,14929217
87597120,2022,199166
87597120,2021,145226
87597120,2020,118590
87597120,2019,153723
87597120,2018,128952
87597120,2017,134473
87597120,2016,126215
87597120,2015,136447
87753657,2022,781295
87753657,2021,589761
87753657,2020,358566
87753657,2019,690306
87753657,2018,646535
87753657,2017,715084
87753657,2016,677260
87753657,2015,688498
87396549,2022,10403
87396549,2021,8831
87396549,2020,7963
87396549,2019,12703
87396549,2018,14550
87396549,2017,17688
87396549,2016,15575
87396549,2015,19029
87394486,2022,11613
87394486,2021,9504
87394486,2020,7471
87394486,2019,8096
87394486,2018,7113
87394486,2017,7322
87394486,2016,6770
87394486,2015,6001
87594465,2022,9738
87594465,2021,6209
87594465,2020,5011
87594465,2019,8137
87594465,2018,6662
87594465,2017,8054
87594465,2016,7895
87594465,2015,8467
87734111,2022,7790
87734111,2021,5672
87734111,2020,5053
87734111,2019,8809
87734111,2018,7945
87734111,2017,6420
87734111,2016,4849
87734111,2015,4419
87345447,2022,28473
87345447,2021,23090
87345447,2020,25519
87345447,2019,50636
87345447,2018,44209
87345447,2017,47944
87345447,2016,49293
87345447,2015,52267
87172122,2022,11188
87172122,2021,9456
87172122,2020,9818
87172122,2019,10424
87172122,2018,9357
87172122,2017,9767
87172122,2016,9191
87172122,2015,9739
87611749,2022,261165
87611749,2021,194599
87611749,2020,151588
87611749,2019,225670
87611749,2018,191987
87611749,2017,239210
87611749,2016,217086
87611749,2015,232730
87476200,2022,1110096
87476200,2021,867879
87476200,2020,623457
87476200,2019,887927
87476200,2018,786183
87476200,2017,829917
87476200,2016,798576
87476200,2015,790588
87611384,2022,356140
87611384,2021,301569
87611384,2020,258534
87611384,2019,343578
87611384,2018,316911
87611384,2017,396360
87611384,2016,394346
87611384,2015,410463
87713347,2022,362209
87713347,2021,258572
87713347,2020,246666
87713347,2019,298952
87713347,2018,270708
87713347,2017,284494
87713347,2016,272128
87713347,2015,269718
87576439,2022,53799
87576439,2021,39421
87576439,2020,28256
87576439,2019,35132
87576439,2018,27513
87576439,2017,28903
87576439,2016,26383
87576439,2015,26562
87718551,2022,22034
87718551,2021,10155
87718551,2020,13740
87718551,2019,21973
87718551,2018,15850
87718551,2017,17198
87718551,2016,17448
87718551,2015,19852
87437806,2022,13419
87437806,2021,9707
87437806,2020,7205
87437806,2019,11310
87437806,2018,9352
87437806,2017,11792
87437806,2016,12485
87437806,2015,13118
87571638,2022,112458
87571638,2021,76788
87571638,2020,66667
87571638,2019,84578
87571638,2018,72388
87571638,2017,71656
87571638,2016,70146
87571638,2015,70977
87141408,2022,11158
87141408,2021,8498
87141408,2020,7448
87141408,2019,10951
87141408,2018,10053
87141408,2017,11678
87141408,2016,12881
87141408,2015,15799
87590349,2022,53740
87590349,2021,32561
87590349,2020,34528
87590349,2019,65168
87590349,2018,93097
87590349,2017,114818
87590349,2016,107295
87590349,2015,96983
87684191,2022,24011
87684191,2021,28521
87684191,2020,13759
87684191,2019,29663
87684191,2018,57849
87684191,2017,114246
87684191,2016,223786
87684191,2015,439600
87764571,2022,18495
87764571,2021,0
87764571,2020,0
87764571,2019,0
87764571,2018,0
87764571,2017,0
87764571,2016,0
87764571,2015,0
87111864,2022,26
87111864,2021,0
87111864,2020,16
87111864,2019,12
87111864,2018,6
87111864,2017,2
87111864,2016,5
87111864,2015,3
87474189,2022,41701
