nom,trigramme,insee_code,latitude,longitude
Abancourt,ABT,60001,49.6852237, 1.7743058
Abbaretz,AAR,44001,47.5546432, -1.5244159
Abbeville,ABB,80001,50.10221, 1.82449
Ablon-sur-Seine,ABL,94001,48.725468, 2.419151
Achères Grand Cormier,GCR,78551,48.9551835, 2.0919031
Achères Ville,ACW,78005,48.97011, 2.07739
Achiet-le-Grand,ACT,62005,50.1317525, 2.780168
Aéroport Charles de Gaulle 1,RSY,93073,49.00956, 2.56135
Agay,AGH,83118,43.4313701, 6.8564997
Agde,AGD,34003,43.31728, 3.466203
Agen,AGN,47001,44.208311, 0.620932
Agonac,AGA,24002,45.2865966, 0.7486706
Aguilcourt - Variscourt,AGK,2761,49.408017, 3.973137
Aigrefeuille le Thou,AGR,17447,46.09402, -0.95168
Aiguebelette-le-Lac,AGQ,73001,45.5363048, 5.8131468
Aiguebelle,AEB,73002,45.5437225, 6.3067175
Aigueperse,AGE,63001,46.0147884, 3.1982621
Aigues-Mortes,AIM,30003,43.5709008, 4.1912102
Aiguillon,AIN,47004,44.2987224, 0.3352388
Aillevillers,AIP,70171,47.9138876, 6.3372988
Ailly-sur-Noye,ASN,80010,49.75448, 2.36419
Ailly-sur-Somme,AYS,80011,49.92838, 2.20059
Aimargues,AIA,30006,43.6786107, 4.2082933
Aime - La Plagne,ANJ,73006,45.5544, 6.648646
Aiserey,ASI,21005,47.170501, 5.1582447
Aix-en-Provence,AXP,13001,43.522912, 5.445345
Aix-en-Provence TGV,AXV,13001,43.455237, 5.317534
Aix-les-Bains le Revard,AIX,73008,45.688161, 5.909371
Aixe-sur-Vienne,ASV,87001,45.7965002, 1.1456892
Alaï,ALA,69244,45.7521198, 4.7717824
Albens,ABN,73010,45.785946, 5.9483418
Albert,ALJ,80016,50.00546, 2.64453
Albertville,ALV,73011,45.672977, 6.383167
Albi,ALB,81004,43.92238, 2.137958
Albi Madeleine,ALM,81004,43.938011, 2.1409629
Albias,ALE,82002,44.0919078, 1.4448012
Albigny - Neuville,VVN,69003,45.874921, 4.832874
Alençon,ALN,61001,48.433884, 0.098531
Alès,ALS,30007,44.127825, 4.084948
Allassac,AAA,19005,45.2589385, 1.4731471
Allée de la Tour Rendez-Vous,AET,93057,48.897109, 2.506475
Allenc,AEN,48003,44.541296, 3.6638926
Alleyras,AES,43005,44.919217, 3.673517
Altkirch,ALK,68004,47.6270174, 7.2392493
Amagne - Lucquy,AMA,8008,49.5238187, 4.4738775
Ambazac,ABZ,87002,45.9529056, 1.406501
Ambérieu-en-Bugey,AMB,1004,45.954008, 5.342388
Amboise,AMQ,37003,47.42148, 0.981299
Ambronay - Priay,AAI,1007,46.0115941, 5.3382579
Amiens,AMS,80021,49.890746, 2.312592
Amifontaine,AMF,2013,49.4847322, 3.9105811
Amilly Ouerray,AMY,28006,48.4381825, 1.3892882
Amplepuis,AMP,69006,45.970982, 4.326844
Ancenis,ANC,44003,47.369334, -1.177763
Anchamps,ACP,8011,49.9307448, 4.6702434
Anché - Voulon,ACV,86003,46.3496187, 0.2503424
Ancy-sur-Moselle,AYM,57021,49.0575093, 6.0627661
Andelot-en-Montagne,AND,39009,46.8594671, 5.923584
Andrésy,ACY,78015,48.9747, 2.04928
Andrézieux-Bouthéon,ANZ,42005,45.5217037, 4.254834
Angers Maître École,AME,49007,47.4670899, -0.531894
Angers Saint-Laud,ASL,49007,47.464647, -0.55682
Angerville,AGV,91016,48.3112062, 2.0034931
Angoulême,ANG,16015,45.653572, 0.164608
Angoulins sur Mer,AOM,17010,46.108057, -1.1154503
Anizy - Pinon,API,2602,49.4960073, 3.4487637
Annappes,ANP,59009,50.6227708, 3.1475351
Annecy,ANY,74010,45.901965, 6.121835
Annemasse,ANE,74012,46.199222, 6.23652
Anor,ANO,59012,49.984892, 4.0929803
Anse,ANS,69009,45.939304, 4.719807
Anthéor Cap Roux,AHC,83118,43.4349641, 6.8921036
Antibes,ATB,6004,43.585784, 7.119498
Anvin,ANV,62036,50.446845, 2.25494
Apach,APJ,57026,49.458836, 6.371972
Appilly,APP,60021,49.5808826, 3.1221903
Arbanats,ABH,33007,44.6743555, -0.3954517
Arbois,AOI,39013,46.912509, 5.7648273
Arc-et-Senans,ACA,25021,47.0303516, 5.7767843
Arcachon,ARC,33009,44.659009, -1.16523
Arches,ARH,88011,48.1198133, 6.5283085
Arcy-sur-Cure,ACU,89015,47.6008461, 3.7668885
Arenc Euroméditerranée,AEM,13202,43.3132339, 5.3676221
Arengosse,ARO,40006,44.0069764, -0.8093835
