insee_code,ville,dep
25620,ville du pont,25
25624,villers grelot,25
25615,villars les blamont,25
25619,les villedieu,25
25622,villers buzon,25
25625,villers la combe,25
25627,villers sous chalamont,25
25632,voujeaucourt,25
2102,bouconville vauclair,2
2105,bouresches,2
2124,brissy hamegicourt,2
2125,brumetz,2
2126,brunehamel,2
2131,bucy le long,2
2139,caillouel crepigny,2
2140,camelin,2
2150,cerny en laonnois,2
2157,chambry,2
2160,chaourse,2
2165,charmes,2
2172,chaudun,2
2173,chauny,2
2185,chezy en orxois,2
2191,chivy les etouvelles,2
2195,ciry salsogne,2
2199,clastres,2
2501,montchalons,2
2508,monthenault,2
2512,montigny l allier,2
2514,montigny lengrain,2
2520,mont notre dame,2
2522,mont st jean,2
2533,muret et crouttes,2
2540,nesles la montagne,2
2541,neufchatel sur aisne,2
2558,le nouvion en thierache,2
2566,ognes,2
2572,orainville,2
2576,osly courtil,2
2583,pancy courtecon,2
2584,papleux,2
2585,parcy et tigny,2
2587,parfondru,2
2590,pargny la dhuys,2
2591,pargny les bois,2
2592,parpeville,2
2800,viffort,2
2806,villeneuve sur fere,2
2815,villers st christophe,2
2833,wimy,2
5142,st firmin,5
2101,bosmont sur serre,2
2104,bouffignereux,2
2107,bourguignon sous coucy,2
2111,brancourt en laonnois,2
2115,braye en laonnois,2
2120,brenelle,2
2122,brie,2
2128,bruyeres et montberault,2
2142,castres,2
2155,chaillevois,2
7006,albon d ardeche,7
2167,chassemy,2
2168,chateau thierry,2
7010,annonay,7
2169,chatillon les sons,2
2170,chatillon sur oise,2
2179,chery chartreuve,2
7017,les assions,7
2180,chery les pouilly,2
7030,beauvene,7
2188,chigny,2
2194,cilly,2
7033,bessas,7
7041,boulieu les annonay,7
7092,freyssenet,7
7100,gravieres,7
7134,laurac en vivarais,7
7147,malarce sur la thines,7
7149,marcols les eaux,7
7162,montreal,7
7165,belsentes,7
7187,prunet,7
7193,rocher,7
7207,st alban auriolles,7
7233,st etienne de serre,7
7239,st genest lachamp,7
7274,st maurice en chalencon,7
7281,st peray,7
7293,st romain de lerps,7
7306,sampzon,7
7307,sanilhac,7
7316,soyons,7
