Code UIC;Total Voyageurs 2022;Total Voyageurs 2021;Total Voyageurs 2020;Total Voyageurs 2019;Total Voyageurs 2018;Total Voyageurs 2017;Total Voyageurs 2016;Total Voyageurs 2015
87481614;40825;27466;22773;38473;38027;35637;33021;35989
87545269;1203692;1594567;660309;1457253;1462108;1471462;1453063;1427319
87386052;177092;209673;126513;221003;228032;235698;238687;241046
87316745;2;0;0;2;235;104;308;898
87485193;51200;32989;24987;31170;18670;14513;266;0
87734129;70599;55143;50677;75954;70745;77218;78088;75873
87185629;5628;5715;8639;7348;4429;5594;5942;6932
87313098;133695;112866;105120;134750;126145;130664;123926;130027
87613398;26119;19376;11378;11386;8780;11579;9415;10586
87721266;331589;248756;186241;238564;229444;246020;231790;239630
87710913;0;0;0;0;0;0;0;0
87721035;314879;245200;206265;317136;276412;317836;298064;289331
87715102;25960;9982;4698;5782;4050;6806;9288;9918
87484048;33549;23674;18317;23126;16070;12708;12663;16649
87543090;151343;130031;75617;183224;175547;170954;162250;153525
87191387;1081;1789;1560;1591;1191;744;657;791
87582726;51865;50805;46502;58138;42489;40409;38450;40206
87718841;77323;56289;47438;55544;43376;50233;47098;43531
87683680;4514;3008;2568;2752;2091;2408;1962;2249
87381848;16033835;14527144;8206484;16219640;16094786;15608674;15388969;14929217
87597120;199166;145226;118590;153723;128952;134473;126215;136447
87753657;781295;589761;358566;690306;646535;715084;677260;688498
87396549;10403;8831;7963;12703;14550;17688;15575;19029
87394486;11613;9504;7471;8096;7113;7322;6770;6001
87594465;9738;6209;5011;8137;6662;8054;7895;8467
87734111;7790;5672;5053;8809;7945;6420;4849;4419
87345447;28473;23090;25519;50636;44209;47944;49293;52267
87172122;11188;9456;9818;10424;9357;9767;9191;9739
87611749;261165;194599;151588;225670;191987;239210;217086;232730
87476200;1110096;867879;623457;887927;786183;829917;798576;790588
87611384;356140;301569;258534;343578;316911;396360;394346;410463
87713347;362209;258572;246666;298952;270708;284494;272128;269718
87576439;53799;39421;28256;35132;27513;28903;26383;26562
87718551;22034;10155;13740;21973;15850;17198;17448;19852
87437806;13419;9707;7205;11310;9352;11792;12485;13118
87571638;112458;76788;66667;84578;72388;71656;70146;70977
87141408;11158;8498;7448;10951;10053;11678;12881;15799
87590349;53740;32561;34528;65168;93097;114818;107295;96983
87684191;24011;28521;13759;29663;57849;114246;223786;439600
87764571;18495;0;0;0;0;0;0;0
87111864;26;0;16;12;6;2;5;3
87474189;41701;29217;25645;28103;22562;22688;23072;23529
87182840;6457;5363;4662;7285;8034;9423;10091;10914
87297291;11089;9498;6211;6141;8608;11174;10665;9537
87184200;11503;6392;3614;6821;5387;6267;5992;6166
87581850;60486;38136;23363;39149;24017;18450;13262;16097
87175133;119;145;193;981;2074;1296;1730;2037
87141218;163022;127453;106890;139986;131165;140910;140514;146075
87673004;1322129;1000265;660529;948134;829006;901165;800871;839085
87611723;94556;72192;52111;55961;50573;68316;67474;74680
87582700;345518;252152;189370;275136;235945;220784;202064;178820
87485342;38082;29514;25176;26170;24235;24545;24094;22629
87781609;35301;23592;16035;13726;15337;17095;16859;17230
87184002;1245496;908286;775926;1124537;1006802;1146193;1059616;1159439
87784892;86;46;23;78;33;4;10;2
87192302;10350;8422;7919;11223;9158;8829;7830;7232
87444299;544544;401880;336799;477308;447200;484156;465550;484258
87781005;1490704;1192730;831286;1129019;1214111;1441893;1374338;1257794
87342097;63288;47484;37582;61097;57790;64218;59082;60233
87673400;731466;630302;431935;571419;496224;501005;419448;422384
87393546;352463;280066;172854;426162;444063;467275;481167;493181
87214296;118917;102113;92984;133047;122565;122728;122510;127673
87645184;368;78;13;61;58;82;120;174
87381152;255631;237004;88484;207727;221223;239132;251490;233191
87784801;4537;3333;2147;1965;1188;1378;1473;1720
87113407;14605023;11082849;7412905;12574385;12799616;13024968;13017323;12955985
87478065;5434;3107;3261;4671;4713;7397;8156;6891
87276444;41848;34587;24170;41161;44209;46272;43084;42347
87543181;2585668;1151507;723394;3130349;3290898;3484634;3615337;3728741
87725473;17196;4401;53;0;0;0;0;0
87214775;9285;7693;8323;7947;7918;8579;8146;8569
87743005;1816923;1453090;1214094;1770487;1662833;1814080;1728014;1784643
87576207;1148025;829220;615575;980131;843252;915112;880015;957058
87723429;1846340;1381493;922883;1855873;1765349;1838742;1701021;1605895
87415323;11589;8528;5189;2424;1534;1717;2347;2591
87726216;38939;34858;26961;43426;33990;37248;32178;36970
