Transporteur;Gare origine - code UIC;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum;;
OUIGO;87111849;87762906;2;Tarif Normal;10;99;;
OUIGO;87313882;87581009;2;Tarif Normal;19;99;;
OUIGO;87111849;87286005;2;Tarif Normal;10;65;;
OUIGO;87391003;87485003;2;Tarif Normal;16;99;;
OUIGO;87271494;87751008;2;Tarif Normal;16;99;;
OUIGO;87271494;87688887;2;Tarif Normal;16;99;;
OUIGO;87319012;87757674;2;Tarif Normal;10;39;;
OUIGO;87271494;87583005;2;Tarif Normal;10;99;;
OUIGO;87271494;87755009;2;Tarif Normal;16;99;;
OUIGO;87318964;87319012;2;Tarif Normal;10;29;;
OUIGO;87271494;87762906;2;Tarif Normal;10;99;;
OUIGO;87391003;87581009;2;Tarif Normal;19;99;;
OUIGO;87286542;87688887;2;Tarif Normal;19;99;;
OUIGO;87111849;87703975;2;Tarif Normal;16;99;;
OUIGO;87318964;87751008;2;Tarif Normal;10;29;;
OUIGO;87319012;87762906;2;Tarif Normal;10;69;;
OUIGO;87111849;87319012;2;Tarif Normal;16;99;;
OUIGO;87581009;87586008;2;Tarif Normal;10;25;;
OUIGO;87271494;87723197;2;Tarif Normal;10;99;;
OUIGO;87318964;87763029;2;Tarif Normal;10;35;;
OUIGO;87391003;87484006;2;Tarif Normal;16;75;;
OUIGO;87111849;87471003;2;Tarif Normal;10;89;;
OUIGO;87111849;87575001;2;Tarif Normal;10;79;;
OUIGO;87286542;87583005;2;Tarif Normal;16;99;;
OUIGO;87319012;87757625;2;Tarif Normal;10;39;;
OUIGO;87396002;87478404;2;Tarif Normal;10;19;;
OUIGO;87583005;87611004;2;Tarif Normal;10;59;;
OUIGO;87741769;87762906;2;Tarif Normal;10;39;;
OUIGO;87313882;87318964;2;Tarif Normal;19;99;;
OUIGO;87393702;87611004;2;Tarif Normal;16;99;;
OUIGO;87113001;87192039;2;Tarif Normal;16;75;;
OUIGO;87686006;87757674;2;Tarif Normal;19;99;;
OUIGO;87762906;87773002;2;Tarif Normal;10;69;;
